,Region,Service,Upfront,Monthly,Annualy,Currency,Configuration summary
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Amazon CloudWatch,0,21.09,253.08,USD,
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Amazon Route 53,0,175.9,2110.8,USD,"Hosted Zones (1), Basic Checks Within AWS (300)"
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,257.85,3094.2,USD,Number of NAT Gateways (1)
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,552.98,6635.76,USD,"Number of Network Load Balancers (1), Average number of new TCP connections (5000 per second), Average number of new UDP Flows (5000 per second), Average UDP Flow duration (60 seconds), Average TCP connection duration (60 seconds), Processed bytes per NLB for TCP (10 GB per hour), Processed bytes per NLB for UDP (10 GB per hour), Average number of new TLS connections (5000 per second), Average TLS connection duration (60 seconds), Processed bytes per NLB for TLS (10 GB per hour)"
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Elastic Load Balancing,0,1184.43,14213.16,USD,Number of Application Load Balancers (1)
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),S3 Standard,0,257.05,3084.6,USD,S3 Standard storage (10000 GB per month)
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),S3 Glacier,0,164.5,1974,USD,S3 Glacier storage (40000 GB per month)
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Data Transfer,0,0,0,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (1), Number of EIPs per instance (1)"
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,981.04,16894.8,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (2000 GB), Instance type (m4.large)"
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1699.886,20398.63,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3000 GB)"
Udacity AWS  Reduced_Cost_Estimate,US East (N. Virginia),Amazon EC2,0,775.2,9302.4,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1500 GB), Instance type (t3.large)"
,,,,,,,
,,,,,,,
,,,,,,,
Monthly Total:,,,,6069.926,77961.43,,
Changes made: Used S3 Glacier to store some of the app data that would rarely be revisited by users; Reduced storage amount by half for web servers; Used Reserved Instances instead of on-demand instances.,,,,,,,